USERID,LTV
20098925,760195.39
1503607,420380.09
5259308,411726.3
21168984,370634.39
19886236,332549.13
21598441,311870.99
4778447,291603.19
8416453,284745.91
13665290,274031.98
16206407,266915.79
7149856,264494.61
16201753,258180.59
6127461,249845.77
1814166,246075
9884452,242415.37
19123714,239370.53
21768956,238718.19
7560871,238156.74
3375695,232827.68
5649313,231092.01
5930617,226058.78
7541973,224796.02
5394382,215704.53
8206989,215570.01
18843847,215460.69
22669837,212909.26
18040815,208549.35
24528295,206291.67
2096721,204489.98
18348541,201484.57
3654755,199276.45
5104338,198077.2
2293162,191466.66
892733,187404.39
3315415,184304.62
15678918,181905.34
13382996,181303.78
8150999,181002.39
24840852,179342.12
942273,178298.97
11477661,175418.87
24816306,175235.63
5996121,174419.17
19038462,173599.85
4750270,173316.65
8895453,172672.41
368178,171795.52
1003895,167722.55
3120185,166080.73
20281574,166025.86
6845336,165046.75
1187201,165009.89
2605206,163959.19
4171595,162965.59
4981726,162673.34
5382211,161767.2
12881409,161443.18
7024900,161254.92
5459659,161200.41
3040682,160635.88
19097510,160082.19
5354857,159674.21
14120672,158845.33
3223303,158753.22
9595512,158663.62
17474767,158180.25
11999880,158050.6
9006393,156116.15
12004522,156012.29
20819845,155401.62
9425508,154381.17
12419075,153252.35
467212,152764.34
24446092,152145
8721266,151943.54
8000033,151117.59
8862852,150350.79
20244885,150022.01
7497449,150012.4
4578319,149974.12
4214508,149963.96
11548264,149821.06
8516363,149209.54
4065034,148882.31
16527264,147484.95
5155781,146882.88
5298130,146663.97
1583592,146605.61
14850047,146454.26
13147405,145044.19
13452535,144819.61
11028459,144160.03
19207343,143443.02
5900039,142482.67
5825607,142255.17
5369182,142014.02
13048349,141619.35
3756786,140225
8874399,139422.82
8748912,139360
7435673,139225.26
6041875,139122.79
4343820,138086.2
17680075,137831.41
3671659,136292.28
6167604,136269.38
24822029,135759.02
9231855,134888.36
6157857,134174.38
8603989,134031.49
8608821,134006.59
23889225,133735.42
17808176,133532.33
25778995,133280.65
4433553,133083.69
19370511,132590.6
21749626,131375.7
5916262,130949.97
15036492,129891.75
11917510,129637.05
5015444,128314.25
2394212,127921.61
15717117,127815.51
12364729,127717.61
22529575,127637.66
6140219,127524.68
6669667,126046.57
6379472,124474.13
2526506,124040.29
6026351,123783.07
5079679,123048.87
6187193,122936.9
662169,122240.57
8675328,122217.13
1948190,122102.51
5260278,121825.39
17454801,121039.78
22777995,120952.22
23455101,120912.31
17672968,120567.04
9224326,119760.57
15357205,119407.16
12453662,119200.61
3719552,119044.92
22286659,118709.4
4693348,118334.78
2194190,117994.9
7204751,117341.5
241261,117323.13
24609530,117098.3
14635729,116684.02
13900598,116374.82
133808,116049.94
8504717,115940.32
12204750,114906.69
20737595,114763.05
2764481,114746.86
14232326,114724.78
3005866,114590.9
20421063,114513.6
7036696,113089.72
5775960,112850.12
1151738,112554.68
8538203,112538.64
1848516,112196.69
8700686,112015.62
6838794,111804.79
5517530,111544.61
5872236,111532.43
3907423,111462.96
25677787,111443.4
3063039,111170.05
10157911,111093.66
13574476,110859.18
8598488,110793.56
5010975,110745.38
14177326,110585.06
5843045,110515.3
6982592,110514.5
6666434,110428.79
22142897,110266.85
8879869,110173.57
8155155,109843.49
3711314,109499.36
6203232,109423.59
13370610,109015.33
4338399,108906.03
7552815,108733.17
16811499,108621.83
9080770,107865.91
9567204,107783
26371473,107748.12
5480961,107687.37
9082290,107662
1194553,107455.32
510824,107346.33
3927235,107227.7
4636378,106888.98
712913,106804.53
7150928,106403.61
6963036,106272.49
10015459,106131.84
13844164,106049.36
21673986,105877.18
1973471,105039.14
25022100,105029.77
11371680,104807.86
2195031,104754.3
110059,104688.74
13069311,104611.56
3278907,104209.49
8068034,104205.63
5042472,103934.12
12091225,103857.13
9688376,103705.7
6424929,103592.15
3458242,103365.47
876836,103135.8
14771890,102751.87
8013243,102699.19
2675461,102634.26
18704103,102260.27
6122194,102207.46
2282464,102075.56
13242208,102057.48
9101419,101920.2
7654148,101651.05
2352723,101448.11
11376701,101345.07
8625625,101321.9
1781907,100476.46
8295725,100469.29
1686919,100321.66
18981746,99975.09
18138550,99949.36
8140449,99685.17
12279083,99473.41
19349633,99342.58
8781735,99054.29
1422096,98806.04
312871,98697.4
8203378,98687.93
4852758,98657.2
18475954,98518.94
12846333,98485.52
12193912,98366.7
4318891,98118.61
6133944,98029.71
133848,98017.91
5882120,97814.91
12851334,97639.27
3202866,97603.2
6496040,97522.86
20706085,97466.59
19335528,97195.37
15440472,97132.28
10702919,96825
18167000,96805.95
11967763,96464.66
5946624,96400.86
18097842,96341.49
8802955,95905.53
4823679,95828.87
1519567,95814.55
33227945,95598.56
5382550,95527.36
23100386,95330.21
6576996,95281.41
